target_name,source_catalog,ra_deg,dec_deg,sp_type,teff_catalog,disk_temperature,disk_radius,distance_pc,reference,sample_role,tic_id,tmag,teff_tic,tic_match_sep_arcsec,gaia_dr3_source_id,bp_rp,parallax,gaia_match_sep_arcsec,tic_query_status,gaia_query_status,has_tess_lightcurve,n_tess_products,first_sector,first_mission,tess_query_status
66 Psc,Cotten & Song 2016 table3,13.646791666666669,19.188333333333333,A1Vn,9340,250,8.7,108.1,Rhee et al. 2007,disk_or_ir_excess_target,436544292,5.783,9226.0,0.3484211748608107,2.789007592856305e+18,-0.024337292,,0.1613549833313244,matched,matched,True,17,17,TESS Sector 17,found
TYC2278-834-1,Cotten & Song 2016 table3,16.105416666666667,31.307694444444444,:K0,5310,260,0.7,62.89,,disk_or_ir_excess_target,174393765,9.1961,,0.3205208540421755,3.1331611619261235e+17,1.0500107,2.7258981553652912,0.1867286447868458,matched,matched,True,6,57,TESS Sector 57,found
V443 And,Cotten & Song 2016 table3,17.674625000000002,42.93180555555555,G7V,5660,200,1.4,27.07,Kim et al. 2005,disk_or_ir_excess_target,196692982,7.0012,5496.0,0.1097221770713978,3.732089540992008e+17,0.89057875,37.094598079938905,4.001546361698882,matched,matched,True,11,17,TESS Sector 17,found
HR 333,Cotten & Song 2016 table3,18.071791666666662,79.67397222222223,A3V,8920,80,69.7,82.84,Jura et al. 2004,disk_or_ir_excess_target,435680540,5.6011,9419.0,1.109904728290541,5.655259760237723e+17,0.0467515,12.29525447411803,0.4181043808661447,matched,matched,True,41,18,TESS Sector 18,found
HD 7570,Cotten & Song 2016 table3,18.796333333333333,-45.531666666666666,F9VFe,6170,85,14.5,15.11,Beichman et al. 2006,disk_or_ir_excess_target,229092427,4.4319,6119.03,0.0283657608537115,,,,,matched,not_found,True,26,2,TESS Sector 02,found
HD 7590,Cotten & Song 2016 table3,19.121458333333333,42.93930555555555,G0-V,6090,200,1.9,23.19,Plavchan et al. 2009,disk_or_ir_excess_target,196841006,6.0429,5962.88,1.1983096329098877,3.733496572279615e+17,0.75912046,41.38032726593179,0.6763429996856916,matched,matched,True,11,17,TESS Sector 17,found
2MASS J01203226-1128035,Cotten & Song 2016 table3,20.134791666666665,-11.468111111111112,G9V,5500,300,0.5,34.39,Carpenter et al. 2009,disk_or_ir_excess_target,10802452,7.7224,5314.0,1.9017435873209212,2.4702728127806095e+18,0.9624119,28.32736548023202,0.9225897233641894,matched,matched,True,11,3,TESS Sector 03,found
HD 8907,Cotten & Song 2016 table3,22.143416666666667,42.26744444444444,:F7,6250,50,45.0,34.77,Zuckerman et al. 2004,disk_or_ir_excess_target,191770861,6.1757,6271.0,1.108737270533091,3.963411969834143e+17,0.65976524,29.94076460671236,0.6966741949416991,matched,matched,True,11,17,TESS Sector 17,found
EO Psc,Cotten & Song 2016 table3,22.27041666666667,21.723166666666664,K2.5V,4930,70,11.1,23.73,Ballering et al. 2013,disk_or_ir_excess_target,381316671,6.8153,4822.0,0.042643254300713,,,,,matched,not_found,True,18,17,TESS Sector 17,found
49 Cet,Cotten & Song 2016 table3,23.657666666666668,-15.67636111111111,A1V,8670,180,9.6,59.38,Oudmaijer et al. 1992,disk_or_ir_excess_target,54003409,5.6003,8790.0,0.8834728192492655,2.451838022871837e+18,0.07496452,17.472520369020444,0.625911395261474,matched,matched,True,14,3,TESS Sector 03,found
EX Cet,Cotten & Song 2016 table3,24.398249999999997,-6.760694444444445,G5V,5440,200,1.3,23.95,Plavchan et al. 2009,disk_or_ir_excess_target,29900813,6.9385,5291.0,1.9443290977855825,2.477815222028038e+18,0.9709339,41.56362142958949,1.2201822709289742,matched,matched,True,16,3,TESS Sector 03,found
HD 10472,Cotten & Song 2016 table3,25.100624999999997,-60.99908333333333,F2IV/V,6610,200,3.4,67.24,Zuckerman et al. 2004,disk_or_ir_excess_target,231839456,7.2296,6775.0,0.6154972640175848,4.715896429133941e+18,0.53107595,14.02048465592582,0.3714130803471601,matched,matched,True,39,1,TESS Sector 01,found
HD 10647,Cotten & Song 2016 table3,25.623041666666666,-53.741083333333336,F9V,6280,300,1.0,17.43,Zuckerman et al. 2004,disk_or_ir_excess_target,229137615,5.0067,6150.97,2.1137820777517184,4.912580642524185e+18,0.7105031,57.640899065213326,1.078256967557888,matched,matched,True,26,2,TESS Sector 02,found
tau Cet,Cotten & Song 2016 table3,26.017000000000003,-15.937472222222222,G8.5V,5750,500,0.2,3.65,Greaves et al. 2004,disk_or_ir_excess_target,419015728,2.7459,5333.0,0.1698775436955948,,,,,matched,not_found,True,13,3,TESS Sector 03,found
HD 10638,Cotten & Song 2016 table3,26.095250000000004,32.51569444444444,:A6,7470,65,49.8,69.3,Moor et al. 2006,disk_or_ir_excess_target,85281928,6.5186,7679.0,0.9148353679168206,3.054156784703009e+17,0.30753088,14.756233246003273,0.5628225405735596,matched,matched,True,6,17,TESS Sector 17,found
HD 10939,Cotten & Song 2016 table3,26.526666666666667,-53.52186111111111,A1V,8960,200,10.7,62.03,Rhee et al. 2007,disk_or_ir_excess_target,229142326,5.0473,9110.0,1.3703718127094129,4.912947570170212e+18,0.04441452,16.057535557154335,0.8680065904038272,matched,matched,True,26,2,TESS Sector 02,found
TYC8850-1468-1,Cotten & Song 2016 table3,28.532083333333333,-60.906638888888885,:K2,5040,185,1.2,92.95,,disk_or_ir_excess_target,231858679,10.4388,4861.0,0.44556941785617,4.714247024253569e+18,1.1876707,0.8160622920436013,0.2572317710264429,matched,matched,True,15,68,TESS Sector 68,found
BD+20 307,Cotten & Song 2016 table3,28.709874999999997,21.306166666666662,:F9,6110,410,0.66,96.15,Song et al. 2005,disk_or_ir_excess_target,91373945,8.45172,6152.0,0.4479931922148172,9.729434512859866e+16,0.7195797,8.524026969808933,0.276421166542537,matched,matched,True,18,17,TESS Sector 17,found
DK Cet,Cotten & Song 2016 table3,29.454375,-21.90161111111111,G4V,5800,350,0.5,40.89,Hines et al. 2006,disk_or_ir_excess_target,266746662,7.4405,5691.0,1.1055784135755815,5.135093346121604e+18,0.83526754,24.205282560124612,0.7376099527028435,matched,matched,True,13,3,TESS Sector 03,found
eps Tri,Cotten & Song 2016 table3,30.741499999999995,33.28408333333333,A2V,8630,200,16.6,120.04,Rhee et al. 2007,disk_or_ir_excess_target,63398390,5.49711,9141.0,0.2084534108393905,3.2878888619933734e+17,0.06491947,9.105285443713202,0.31531055525772,matched,matched,True,6,18,TESS Sector 18,found
HD 13246,Cotten & Song 2016 table3,31.859375,-59.6795,F7V,6160,165,3.5,44.16,Moor et al. 2009,disk_or_ir_excess_target,231064749,6.9982,6263.0,0.9789532416599832,4.714764481913306e+18,0.69261456,22.02553766608435,0.5379094547167715,matched,matched,True,18,2,TESS Sector 02,found
HD 12467,Cotten & Song 2016 table3,32.355041666666665,81.29602777777778,A1.5V,8140,200,7.4,70.57,Rhee et al. 2007,disk_or_ir_excess_target,331726184,5.9466,8349.0,0.3764432480402451,5.689480685260151e+17,0.1704297,14.238398989226614,0.3853588692607229,matched,matched,True,30,18,TESS Sector 18,found
TYC3698-2277-1,Cotten & Song 2016 table3,33.88408333333333,59.24011111111111,:F0,6940,200,4.0,113.1,,disk_or_ir_excess_target,347949646,8.09622,7170.0,0.641447081322302,5.072374286676676e+17,0.45391083,5.309943939851628,0.2232501099494003,matched,matched,True,6,18,TESS Sector 18,found
gam Tri,Cotten & Song 2016 table3,34.32883333333333,33.84711111111111,A1V,8970,85,53.2,34.43,Zuckerman et al. 2004,disk_or_ir_excess_target,63790159,4.0017,9441.0,0.7189845150233708,3.261096898967656e+17,0.04534602,27.979464525783225,0.5386282090260236,matched,matched,True,9,18,TESS Sector 18,found
HD 14082B,Cotten & Song 2016 table3,34.353291666666664,28.741611111111112,G2V,5910,220,1.1,27.33,Rebull et al. 2008,disk_or_ir_excess_target,118301927,7.1878,5940.86,0.9281677562217888,1.0777419847460237e+17,0.79357624,25.230631889461055,0.8575853945960097,matched,matched,True,11,18,TESS Sector 18,found
HD 15115,Cotten & Song 2016 table3,36.56804166666667,6.2924444444444445,:F3,6660,320,1.3,45.22,Zuckerman et al. 2004,disk_or_ir_excess_target,381003375,6.3927,6772.17,1.3143914672160062,2.5173978467864525e+18,0.54123163,20.502644220776563,0.4471015778929513,matched,matched,True,26,4,TESS Sector 04,found
AG Tri,Cotten & Song 2016 table3,36.87216666666667,30.973305555555555,K7V,4330,205,0.8,39.95,Rebull et al. 2008,disk_or_ir_excess_target,285466901,8.9818,4300.0,1.0952618713579187,1.3236295925919603e+17,1.5532999,24.423161288542683,0.6265542293030433,matched,matched,True,10,18,TESS Sector 18,found
phi For,Cotten & Song 2016 table3,37.007083333333334,-33.811027777777774,A2.5V,8630,100,30.2,46.59,Ballering et al. 2013,disk_or_ir_excess_target,91529289,5.0939,8669.0,0.0578516630643268,4.967177781457919e+18,0.1088047,20.96629207751937,0.3428832124863457,matched,matched,True,13,3,TESS Sector 03,found
HD 15407,Cotten & Song 2016 table3,37.7115,55.548138888888886,F5V,6380,525,0.5,54.7,Oudmaijer et al. 1992,disk_or_ir_excess_target,372121208,6.5134,6472.0,1.3025732680509925,4.5732685067314726e+17,0.60227585,20.26789764624098,0.7100905776586034,matched,matched,True,10,58,TESS Sector 58,found
HD 15745,Cotten & Song 2016 table3,38.232708333333335,37.3335,:F2,6730,120,9.5,63.49,Zuckerman et al. 2004,disk_or_ir_excess_target,139372528,7.1162,6827.18,0.6403725178363457,3.3364952216496026e+17,0.49569988,13.941112090762086,0.4278018511348862,matched,matched,True,9,18,TESS Sector 18,found
HD 16743,Cotten & Song 2016 table3,39.781875,-52.93463888888888,F1III/IV,6850,200,4.3,58.85,Moor et al. 2006,disk_or_ir_excess_target,166835573,6.4335,7025.0,0.9907022985634,4.742097275828451e+18,0.47773314,17.2991779920502,0.4306178357909489,matched,matched,True,32,2,TESS Sector 02,found
33 Ari,Cotten & Song 2016 table3,40.17133333333333,27.060861111111112,A2/3V,8450,95,47.1,70.97,Trilling et al. 2007,disk_or_ir_excess_target,436840249,5.2438,8710.0,0.6905325927182423,1.2697390488393216e+17,0.12038469,12.646353401652002,0.444128189228861,matched,matched,True,21,18,TESS Sector 18,found
