target_name,source_catalog,ra_deg,dec_deg,sp_type,teff_catalog,disk_temperature,disk_radius,distance_pc,reference,sample_role,tic_id,tmag,teff_tic,tic_match_sep_arcsec,gaia_dr3_source_id,bp_rp,parallax,gaia_match_sep_arcsec,tic_query_status,gaia_query_status
BD+20 307,Cotten & Song 2016 table3,28.709874999999997,21.306166666666662,:F9,6110,410,0.66,96.15,Song et al. 2005,disk_or_ir_excess_target,91373945,8.45172,6152.0,0.4479931922148172,97294345128598656,0.7195797,8.524026969808933,0.27642116654253707,matched,matched
DK Cet,Cotten & Song 2016 table3,29.454375,-21.90161111111111,G4V,5800,350,0.5,40.89,Hines et al. 2006,disk_or_ir_excess_target,266746662,7.4405,5691.0,1.1055784135755815,5135093346121603712,0.83526754,24.205282560124612,0.7376099527028435,matched,matched
eps Tri,Cotten & Song 2016 table3,30.741499999999995,33.28408333333333,A2V,8630,200,16.6,120.04,Rhee et al. 2007,disk_or_ir_excess_target,63398390,5.49711,9141.0,0.20845341083939053,328788886199337344,0.06491947,9.105285443713202,0.31531055525772,matched,matched
HD 13246,Cotten & Song 2016 table3,31.859375,-59.6795,F7V,6160,165,3.5,44.16,Moor et al. 2009,disk_or_ir_excess_target,231064749,6.9982,6263.0,0.9789532416599831,4714764481913306496,0.69261456,22.025537666084354,0.5379094547167715,matched,matched
HD 12467,Cotten & Song 2016 table3,32.355041666666665,81.29602777777778,A1.5V,8140,200,7.4,70.57,Rhee et al. 2007,disk_or_ir_excess_target,331726184,5.9466,8349.0,0.37644324804024515,568948068526015104,0.1704297,14.238398989226614,0.3853588692607229,matched,matched
TYC3698-2277-1,Cotten & Song 2016 table3,33.88408333333333,59.24011111111111,:F0,6940,200,4.0,113.1,,disk_or_ir_excess_target,347949646,8.09622,7170.0,0.641447081322302,507237428667667584,0.45391083,5.309943939851628,0.2232501099494003,matched,matched
gam Tri,Cotten & Song 2016 table3,34.32883333333333,33.84711111111111,A1V,8970,85,53.2,34.43,Zuckerman et al. 2004,disk_or_ir_excess_target,63790159,4.0017,9441.0,0.7189845150233708,326109689896765568,0.04534602,27.979464525783225,0.5386282090260236,matched,matched
HD 14082B,Cotten & Song 2016 table3,34.353291666666664,28.741611111111112,G2V,5910,220,1.1,27.33,Rebull et al. 2008,disk_or_ir_excess_target,118301927,7.1878,5940.86,0.9281677562217887,107774198474602368,0.79357624,25.230631889461055,0.8575853945960097,matched,matched
HD 15115,Cotten & Song 2016 table3,36.56804166666667,6.2924444444444445,:F3,6660,320,1.3,45.22,Zuckerman et al. 2004,disk_or_ir_excess_target,381003375,6.3927,6772.17,1.3143914672160062,2517397846786452224,0.54123163,20.502644220776563,0.4471015778929513,matched,matched
AG Tri,Cotten & Song 2016 table3,36.87216666666667,30.973305555555555,K7V,4330,205,0.8,39.95,Rebull et al. 2008,disk_or_ir_excess_target,285466901,8.9818,4300.0,1.0952618713579187,132362959259196032,1.5532999,24.423161288542683,0.6265542293030433,matched,matched
phi For,Cotten & Song 2016 table3,37.007083333333334,-33.811027777777774,A2.5V,8630,100,30.2,46.59,Ballering et al. 2013,disk_or_ir_excess_target,91529289,5.0939,8669.0,0.057851663064326854,4967177781457918976,0.1088047,20.966292077519366,0.3428832124863457,matched,matched
HD 15407,Cotten & Song 2016 table3,37.7115,55.548138888888886,F5V,6380,525,0.5,54.7,Oudmaijer et al. 1992,disk_or_ir_excess_target,372121208,6.5134,6472.0,1.3025732680509923,457326850673147264,0.60227585,20.26789764624098,0.7100905776586034,matched,matched
