depth_ppm,local_snr,noise_mad,duration_hours,fwhm_hours,ingress_duration_hours,egress_duration_hours,egress_ingress_ratio,skewness,kurtosis,delta_chi2_asym,n_points_window,edge_event,single_point_like,label,injection_id,tic_id,sample_role,injected_depth_ppm,injected_ingress_hours,injected_egress_hours,injected_asymmetry_ratio,quality_score
,,0.0018647804975509,,,,,,,,,,,,0,18,115598451,control,1943.9766109549932,3.526709975163256,11.307797572986605,3.206330447533653,0.0
,,0.0018647804975509,,,,,,,,,,,,0,19,115598451,control,3150.9641155671666,3.3102086335848795,4.974444690729621,1.5027586600613787,0.0
2752.110325909163,2.2227397839152148,0.0003913900494575,,,,,,,,,,,,1,20,231839456,target,3345.866489222662,2.8212756220761617,17.354964767725026,6.151460223143175,0.10002329027618466
5314.658731387256,9.31409141903496,0.0003913900494575,,,,,,,,,,,,1,21,231839456,target,4956.487937567551,0.8928125875280495,6.564727192473117,7.352861377827374,0.41913411385657323
1468.208684731742,2.663623896889369,0.0003913900494575,,,,,,,,,,,,1,22,231839456,target,1281.606606675093,3.9754071713078014,8.29076941915639,2.0855145301830684,0.1198630753600216
2083.082218199084,1.6638688327430449,0.0003913900494575,,,,,,,,,,,,1,23,231839456,target,2606.59379123174,5.95281070651216,24.0,4.031708915881512,0.07487409747343701
,,0.0003913900494575,,,,,,,,,,,,0,24,231839456,target,393.2216657560961,2.376750246922084,18.945099434533734,7.971009768093149,0.0
1972.011459328682,3.270343219394879,0.0003913900494575,,,,,,,,,,,,1,25,231839456,target,1950.29823257844,2.6987496445020085,9.147741589771243,3.3896221564706304,0.14716544487276956
2661.043471301916,2.249902356188344,0.0003913900494575,,,,,,,,,,,,1,26,231839456,target,3356.9863916318086,5.043295083594114,11.242369071599692,2.2291713820536145,0.10124560602847549
,,0.0003913900494575,,,,,,,,,,,,0,27,231839456,target,613.09676254999,1.7239845123496935,12.543317552845226,7.275771599449806,0.0
2249.6264766252993,1.6945959407546782,0.0003913900494575,,,,,,,,,,,,1,28,231839456,target,3000.254683110138,7.494591997249737,15.0215127626354,2.0043136128221244,0.07625681733396052
4603.9538887236995,2.88177553024488,0.0003913900494575,,,,,,,,,,,,1,29,231839456,target,4067.897228746221,6.067977550126492,8.179066146772447,1.347906461289058,0.1296798988610196
1390.4625452282326,2.999947301586626,0.0004084454298019,,,,,,,,,,,,1,30,381003375,target,1551.309799421428,5.065985095372428,24.0,4.737479394071457,0.1349976285713982
2501.6842454463895,1.366208634005455,0.0004084454298019,,,,,,,,,,,,1,31,381003375,target,4848.882363929979,5.241886032434035,24.0,4.578504731217088,0.061479388530245475
1765.849071529324,1.4737483089909444,0.0004084454298019,,,,,,,,,,,,1,32,381003375,target,2807.547742708054,4.786097410531829,24.0,5.014523930747396,0.0663186739045925
,,0.0004084454298019,,,,,,,,,,,,0,33,381003375,target,542.4918896624685,3.974610530631977,15.774018104621565,3.968695293048861,0.0
3146.2013776785147,3.274316396671511,0.0004084454298019,,,,,,,,,,,,1,34,381003375,target,3156.3722453361324,3.680286288230425,8.468886183885179,2.301148747848427,0.147344237850218
3927.202953845965,8.166963457786553,0.0004084454298019,,,,,,,,,,,,1,35,381003375,target,3901.5595882401008,2.1188453023389147,4.443945342586265,2.097342990392342,0.3675133556003949
3935.541669992992,1.9281713690731912,0.0004084454298019,,,,,,,,,,,,1,36,381003375,target,4202.247076918604,3.769592337198088,15.45524145793902,4.099976887534421,0.08676771160829361
