pair_id,sample_role,tic_id,target_name,sector_or_product,event_time_btjd,depth_ppm,local_snr,duration_hours,fwhm_hours,ingress_duration_hours,egress_duration_hours,egress_ingress_ratio,skewness,kurtosis,delta_chi2_asym,n_points_window,edge_event,single_point_like,detector_version,n_lc_points,ml_score,quality_score,final_candidate_score,ranker_version,flag_low_snr,flag_edge_event,flag_single_point_like,flag_likely_flare_shape,flag_low_delta_chi2,flag_poor_asymmetry_fit,needs_manual_review,automated_vetting_status,eb_catalog_check_status,vsx_check_status,simbad_check_status,vetter_version,ra_deg,dec_deg,vsx_match_name,vsx_variable_type,vsx_sep_arcsec,simbad_main_id,simbad_otype,simbad_otypes,simbad_sep_arcsec,tess_eb_check_status,tess_eb_match_id,tess_eb_sep_arcsec,external_false_positive_flag,external_vetting_notes,external_vetter_version,flag_external_catalog_match,inspection_reason,recommended_review_priority
26,control,417236897,TIC 417236897,TIC 417236897,1965.503266277209,1652.7175903320312,5.375763086739589,0.0666654188098618,0.037317383717891,0.033332709394017,0.0333327094158448,1.0000000006548484,-0.0675438504740817,1.0981535863124954,-0.0325011146582028,705,False,False,phase3_v1,18197,0.9214674,0.2419093389425724,0.6112550781639379,phase4_v1,False,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,17.7113956128308,67.7801243887217,,,,HD   6840,**,,0.0319440727134336,not_found,,,no_external_match,"SIMBAD: HD   6840 otype=** (0.0"")",phase5c_v1,False,overtriggered_top5,overtriggered_review
5,target,194503676,sig And,TIC 194503676,1766.374064807063,548.1243133544922,4.494650017497659,0.1000003924636985,0.0515745479424367,0.0333334641472902,0.0666669283164083,2.0000000006548335,-0.2823925027763844,0.7038638574855471,0.5617448865647248,702,False,False,phase3_v1,13096,0.9214674,0.2636636130430965,0.6111456571117281,phase4_v1,True,False,False,False,True,False,True,flagged,not_attempted,matched,matched,phase5_v1,4.581666666666666,36.78511111111111,NSV 118,,0.8312036119744395,* sig And,PM*,,0.8011781839582733,not_found,,,known_variable_match,"VSX: NSV 118 type= (0.8""); SIMBAD: * sig And otype=PM* (0.8"")",phase5c_v1,True,"overtriggered_top5,target_top_event",overtriggered_review
26,control,417236897,TIC 417236897,TIC 417236897,1965.8254823841287,1632.9288482666016,5.3529399903304755,0.0666654188098618,0.0368705656546808,0.033332709394017,0.0333327094158448,1.0000000006548484,-0.0614143697637652,1.2391969191394194,-16.87486144557829,701,False,False,phase3_v1,18197,0.9214674,0.2408822996041623,0.6106160314644826,phase4_v1,False,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,17.7113956128308,67.7801243887217,,,,HD   6840,**,,0.0319440727134336,not_found,,,no_external_match,"SIMBAD: HD   6840 otype=** (0.0"")",phase5c_v1,False,overtriggered_top5,overtriggered_review
26,control,417236897,TIC 417236897,TIC 417236897,1966.2240860970317,1610.398292541504,5.218611494713244,0.0666654188098618,0.0363618390565534,0.033332709394017,0.0333327094158448,1.0000000006548484,-0.0411439390566424,1.2914112395386343,-11.8234378712732,701,False,False,phase3_v1,18197,0.9214674,0.2348375173013868,0.6068548335872002,phase4_v1,False,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,17.7113956128308,67.7801243887217,,,,HD   6840,**,,0.0319440727134336,not_found,,,no_external_match,"SIMBAD: HD   6840 otype=** (0.0"")",phase5c_v1,False,overtriggered_top5,overtriggered_review
26,control,417236897,TIC 417236897,TIC 417236897,1963.5158064252753,989.1390800476074,4.156395898074303,0.0999978768013534,0.0551987494509376,0.0333326255749852,0.0666652512263681,2.0000000022919755,-0.2644335113295226,0.7653912187471388,2.7646407004875755,707,False,False,phase3_v1,18197,0.9214674,0.2539494173020811,0.6038774376210885,phase4_v1,True,False,False,False,True,False,True,flagged,not_attempted,not_found,matched,phase5_v1,17.7113956128308,67.7801243887217,,,,HD   6840,**,,0.0319440727134336,not_found,,,no_external_match,"SIMBAD: HD   6840 otype=** (0.0"")",phase5c_v1,False,overtriggered_top5,overtriggered_review
26,control,417236897,TIC 417236897,TIC 417236897,1967.162958368801,1267.7311897277832,4.236782032872918,0.099998295880141,0.0556796205837599,0.0333327652951993,0.0666655305849417,1.999999999836288,-0.1999502691665122,0.7475556061442172,-7.091036774491613,697,False,False,phase3_v1,18197,0.9214674,0.2506551914694586,0.6033636086360257,phase4_v1,True,False,False,False,True,False,True,flagged,not_attempted,not_found,matched,phase5_v1,17.7113956128308,67.7801243887217,,,,HD   6840,**,,0.0319440727134336,not_found,,,no_external_match,"SIMBAD: HD   6840 otype=** (0.0"")",phase5c_v1,False,overtriggered_top5,overtriggered_review
5,target,194503676,sig And,TIC 194503676,1778.0212415072124,578.9399147033691,4.666188566094137,0.0666659783837531,0.0412377601078333,0.0333329836012126,0.0333329947825404,1.000000335443355,-0.1708108057487135,0.3763821131248313,1.9417713312171827,537,False,False,phase3_v1,13096,0.9214674,0.2148329339288804,0.5933287709520065,phase4_v1,True,False,False,False,True,True,True,flagged,not_attempted,matched,matched,phase5_v1,4.581666666666666,36.78511111111111,NSV 118,,0.8312036119744395,* sig And,PM*,,0.8011781839582733,not_found,,,known_variable_match,"VSX: NSV 118 type= (0.8""); SIMBAD: * sig And otype=PM* (0.8"")",phase5c_v1,True,overtriggered_top5,overtriggered_review
5,target,194503676,sig And,TIC 194503676,1767.6851791843733,603.2586097717285,4.104943461613121,0.0666667383047752,0.0418580922651017,0.0333333635644521,0.033333374740323,1.0000003352758229,-0.3187103591782507,0.6302659435126499,0.7331614236727546,714,False,False,phase3_v1,13096,0.9214674,0.1865553794483217,0.5764052981149728,phase4_v1,True,False,False,False,True,True,True,flagged,not_attempted,matched,matched,phase5_v1,4.581666666666666,36.78511111111111,NSV 118,,0.8312036119744395,* sig And,PM*,,0.8011781839582733,not_found,,,known_variable_match,"VSX: NSV 118 type= (0.8""); SIMBAD: * sig And otype=PM* (0.8"")",phase5c_v1,True,overtriggered_top5,overtriggered_review
5,target,194503676,sig And,TIC 194503676,1768.9240682178208,469.6846008300781,3.109998352648081,0.0999999007090082,0.054418028850705,0.0333332965146837,0.0666666041943244,2.0000003349490787,-0.0439932339305064,0.1330410765731655,2.3991412624222903,701,False,False,phase3_v1,13096,0.9214674,0.2059477991221641,0.5742128148948594,phase4_v1,True,False,False,False,True,False,True,flagged,not_attempted,matched,matched,phase5_v1,4.581666666666666,36.78511111111111,NSV 118,,0.8312036119744395,* sig And,PM*,,0.8011781839582733,not_found,,,known_variable_match,"VSX: NSV 118 type= (0.8""); SIMBAD: * sig And otype=PM* (0.8"")",phase5c_v1,True,overtriggered_top5,overtriggered_review
5,target,194503676,sig And,TIC 194503676,1765.7587841000045,493.2880401611328,3.682114462683576,0.066667051267359,0.0444002586682472,0.0333335312188864,0.0333335200484725,0.9999996648895716,-0.0897814949837429,0.7747648909927021,0.7688808183811489,674,False,False,phase3_v1,13096,0.9214674,0.1676173528667137,0.5646017974930342,phase4_v1,True,False,False,False,True,True,True,flagged,not_attempted,matched,matched,phase5_v1,4.581666666666666,36.78511111111111,NSV 118,,0.8312036119744395,* sig And,PM*,,0.8011781839582733,not_found,,,known_variable_match,"VSX: NSV 118 type= (0.8""); SIMBAD: * sig And otype=PM* (0.8"")",phase5c_v1,True,overtriggered_top5,overtriggered_review
23,target,118301927,HD 14082B,TIC 118301927,1791.3788763981956,24380.207061767574,5.79524228732157,7.400017821935762,5.017025498351359,6.33334920244306,1.0666686194927024,0.1684209389687908,-1.2121119379200649,1.436763478430512,9.104879934457928,520,False,False,phase3_v1,14725,0.92270243,0.2835481027656155,0.6327228798188479,phase4_v1,False,False,False,False,False,False,False,flagged,not_attempted,matched,matched,phase5_v1,34.353291666666664,28.741611111111112,DK Tri,TTS/ROT,0.8999736895717944,HD  14082B,BY*,,0.9274414052135708,not_found,,,known_variable_match,"VSX: DK Tri type=TTS/ROT (0.9""); SIMBAD: HD  14082B otype=BY* (0.9"")",phase5c_v1,True,target_top_event,low
25,target,91529289,phi For,TIC 91529289,1387.8190765369666,636.9352340698242,5.253358787002111,0.0666678802681417,0.0360058689275319,0.0333339345434069,0.0333339457247348,1.000000335433786,-0.2272422328235773,0.8549279685536639,-11.426509796250455,709,False,False,phase3_v1,12894,0.9214674,0.2364011655411222,0.607827765805983,phase4_v1,False,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,37.007083333333334,-33.811027777777774,,,,* phi For,*,,0.0581486829424316,not_found,,,no_external_match,"SIMBAD: * phi For otype=* (0.1"")",phase5c_v1,False,target_top_event,low
9,target,155996406,HD 2834,TIC 155996406,1359.8677555228926,414.0138626098633,4.419823410683425,0.0666670091995911,0.0351044741491932,0.0333334990064031,0.0333335101931879,1.000000335601877,-0.036742665603382,0.5414289856221615,5.252823655454108,717,False,False,phase3_v1,18298,0.9214674,0.212024132755502,0.5897415989285479,phase4_v1,True,False,False,False,False,True,True,flagged,not_attempted,not_found,matched,phase5_v1,7.854083333333335,-48.8035,,,,* lam01 Phe,PM*,,0.0523410260382642,not_found,,,no_external_match,"SIMBAD: * lam01 Phe otype=PM* (0.1"")",phase5c_v1,False,target_top_event,low
10,target,469974193,bet03 Tuc,TIC 469974193,1351.7043955908766,475.1384258270264,3.748137392239581,0.0999998035258613,0.0642935133673745,0.0333332696991419,0.0666665338267193,1.9999998328527449,-0.0130559597633176,0.1557895432235558,-3.958460273941227,698,False,False,phase3_v1,18270,0.9214674,0.2286661726219458,0.5896815546906871,phase4_v1,True,False,False,False,True,False,True,flagged,not_attempted,not_found,matched,phase5_v1,8.183458333333332,-63.03161111111111,,,,* bet03 Tuc,**,,0.9365279702657712,not_found,,,no_external_match,"SIMBAD: * bet03 Tuc otype=** (0.9"")",phase5c_v1,False,target_top_event,overtriggered_review
