pair_id,sample_role,tic_id,target_name,sector_or_product,event_time_btjd,depth_ppm,local_snr,duration_hours,fwhm_hours,ingress_duration_hours,egress_duration_hours,egress_ingress_ratio,skewness,kurtosis,delta_chi2_asym,n_points_window,edge_event,single_point_like,detector_version,n_lc_points,ml_score,quality_score,final_candidate_score,ranker_version,flag_low_snr,flag_edge_event,flag_single_point_like,flag_likely_flare_shape,flag_low_delta_chi2,flag_poor_asymmetry_fit,needs_manual_review,automated_vetting_status,eb_catalog_check_status,vsx_check_status,simbad_check_status,vetter_version,ra_deg,dec_deg,vsx_match_name,vsx_variable_type,vsx_sep_arcsec,simbad_main_id,simbad_otype,simbad_otypes,simbad_sep_arcsec,tess_eb_check_status,tess_eb_match_id,tess_eb_sep_arcsec,external_false_positive_flag,external_vetting_notes,external_vetter_version,flag_external_catalog_match
27,target,436840249,33 Ari,TIC 436840249,1804.49276382728,3491.044044494629,9.000894003769465,0.0666657892070361,0.0376759914724971,0.0333328945926041,0.033332894614432,1.0000000006548448,-0.92032611824023,6.335822241588813,1.2047646918443888,714,False,False,phase3_v1,14739,0.92270243,0.4080521419385275,0.7145810126524916,phase4_v1,False,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,40.17133333333333,27.060861111111112,,,,*  33 Ari,PM*,,0.6580493206682974,not_found,,,no_external_match,"SIMBAD: *  33 Ari otype=PM* (0.7"")",phase5c_v1,False
5,control,266586474,TIC 266586474,TIC 266586474,1347.9942258207675,899.9109268188477,4.0282679931082415,0.2999938449611363,0.2603591572642472,0.0333326494328503,0.266661195528286,8.00000000196455,-0.5752497686825802,0.4154229790097803,5.150671791638274,407,False,False,phase3_v1,18136,0.9214674,0.4941487391689665,0.698675887318182,phase4_v1,True,False,False,False,False,False,True,flagged,not_attempted,not_found,matched,phase5_v1,319.484526648218,-32.1725471445341,,,,* eps Mic,PM*,,0.004034389859629958,not_found,,,no_external_match,"SIMBAD: * eps Mic otype=PM* (0.0"")",phase5c_v1,False
27,target,436840249,33 Ari,TIC 436840249,1805.0816444276832,3322.5417137145996,8.272417690979944,0.0666656662506284,0.0376894453438581,0.0333328387350775,0.0333328275155508,0.9999996634092064,-0.4252033910594645,5.074130169820403,-1.2814530315539514,713,False,False,phase3_v1,14739,0.92270243,0.3722587960940975,0.6929789111868245,phase4_v1,False,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,40.17133333333333,27.060861111111112,,,,*  33 Ari,PM*,,0.6580493206682974,not_found,,,no_external_match,"SIMBAD: *  33 Ari otype=PM* (0.7"")",phase5c_v1,False
27,target,436840249,33 Ari,TIC 436840249,1804.8247037405329,3418.5051918029785,8.101375608012809,0.0666656662506284,0.0387780126475263,0.0333328387350775,0.0333328275155508,0.9999996634092064,-0.8101994347058414,5.778166267504821,-10.133300687439371,716,False,False,phase3_v1,14739,0.92270243,0.3645619023605764,0.6881897328637446,phase4_v1,False,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,40.17133333333333,27.060861111111112,,,,*  33 Ari,PM*,,0.6580493206682974,not_found,,,no_external_match,"SIMBAD: *  33 Ari otype=PM* (0.7"")",phase5c_v1,False
27,target,436840249,33 Ari,TIC 436840249,1809.3579461749168,2964.6754264831543,7.999164493468377,0.0999974991354974,0.0595032845722016,0.0666649956983747,0.0333325034371227,0.5000000838211327,-0.9461670836278904,4.444905304052233,-57.55326583424301,709,False,False,phase3_v1,14739,0.92270243,0.3599624022060769,0.6853278216565006,phase4_v1,False,False,False,False,True,False,True,flagged,not_attempted,not_found,matched,phase5_v1,40.17133333333333,27.060861111111112,,,,*  33 Ari,PM*,,0.6580493206682974,not_found,,,no_external_match,"SIMBAD: *  33 Ari otype=PM* (0.7"")",phase5c_v1,False
27,target,436840249,33 Ari,TIC 436840249,1791.6580967998948,2532.2437286376953,7.795175578238213,0.0666673202467791,0.0371183279949036,0.0333336545299971,0.0333336657167819,1.000000335600311,-0.7605330786011834,4.510114013941513,-71.62121531338039,553,False,False,phase3_v1,14739,0.92270243,0.3507829211567383,0.6796161400844635,phase4_v1,False,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,40.17133333333333,27.060861111111112,,,,*  33 Ari,PM*,,0.6580493206682974,not_found,,,no_external_match,"SIMBAD: *  33 Ari otype=PM* (0.7"")",phase5c_v1,False
27,target,436840249,33 Ari,TIC 436840249,1809.6148841030276,2839.7440910339355,7.335029274992793,0.0999974991354974,0.0571552583805896,0.0666649956983747,0.0333325034371227,0.5000000838211327,-0.6806855395970032,3.1308901299112666,0.3702201021301334,711,False,False,phase3_v1,14739,0.92270243,0.331001867630001,0.6671022556413143,phase4_v1,False,False,False,False,True,False,True,flagged,not_attempted,not_found,matched,phase5_v1,40.17133333333333,27.060861111111112,,,,*  33 Ari,PM*,,0.6580493206682974,not_found,,,no_external_match,"SIMBAD: *  33 Ari otype=PM* (0.7"")",phase5c_v1,False
22,target,63790159,gam Tri,TIC 63790159,1805.0091735876472,1071.6915130615234,6.985797151721878,0.066665398018813,0.0569736433080834,0.0333327045918849,0.033332693426928,0.9999996650449732,-0.7022069516355502,2.1476598585568105,10.576202919917591,701,False,False,phase3_v1,14756,0.9214674,0.3408013791272785,0.6669122348876431,phase4_v1,False,False,False,False,False,True,True,flagged,not_attempted,not_found,matched,phase5_v1,34.32883333333333,33.84711111111111,,,,* gam Tri,PM*,,0.7257198156500323,not_found,,,no_external_match,"SIMBAD: * gam Tri otype=PM* (0.7"")",phase5c_v1,False
3,target,229012143,HD 203,TIC 229012143,1366.32740824016,801.6526699066162,3.963977919851635,0.1333355271744949,0.1140975768739736,0.0333338790023844,0.1000016481721104,3.0000003349432256,-0.2542359476793349,-0.0129450436174312,37.07322228737144,682,False,False,phase3_v1,18290,0.9214674,0.3910620822083457,0.6567983238013676,phase4_v1,True,False,False,False,False,False,True,flagged,not_attempted,not_found,matched,phase5_v1,1.7090416666666668,-23.10761111111111,,,,HD    203,PM*,,1.182127167496498,not_found,,,no_external_match,"SIMBAD: HD    203 otype=PM* (1.2"")",phase5c_v1,False
22,target,63790159,gam Tri,TIC 63790159,1805.331389573337,1038.7897491455078,6.957694558246878,0.066665398018813,0.0552245080980355,0.0333327045918849,0.033332693426928,0.9999996650449732,-0.6771442485303562,2.1238364753901395,-1.1417392767529009,704,False,False,phase3_v1,14756,0.9214674,0.3130962551211095,0.6555491593504256,phase4_v1,False,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,34.32883333333333,33.84711111111111,,,,* gam Tri,PM*,,0.7257198156500323,not_found,,,no_external_match,"SIMBAD: * gam Tri otype=PM* (0.7"")",phase5c_v1,False
22,target,63790159,gam Tri,TIC 63790159,1791.6537361716448,1005.3515434265136,6.1795956763127275,0.0666669067722978,0.0423419871858641,0.0333334533861489,0.0333334533861489,1.0,1.4210334325861578,3.571752143481141,13.355962274499916,551,False,False,phase3_v1,14756,0.9214674,0.3114717111203225,0.6471183529307692,phase4_v1,False,False,False,False,False,True,True,flagged,not_attempted,not_found,matched,phase5_v1,34.32883333333333,33.84711111111111,,,,* gam Tri,PM*,,0.7257198156500323,not_found,,,no_external_match,"SIMBAD: * gam Tri otype=PM* (0.7"")",phase5c_v1,False
27,target,436840249,33 Ari,TIC 436840249,1799.0428147005623,1730.6208610534668,6.152635627207962,0.0666661132527224,0.0322749791557726,0.0333330510438827,0.0333330622088396,1.0000003349515454,-0.1395203110108265,2.333391855260503,-2.9232401674822768,713,False,False,phase3_v1,14739,0.9214674,0.276868623321451,0.6330075173201729,phase4_v1,False,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,40.17133333333333,27.060861111111112,,,,*  33 Ari,PM*,,0.6580493206682974,not_found,,,no_external_match,"SIMBAD: *  33 Ari otype=PM* (0.7"")",phase5c_v1,False
