injection_id,sample_role,tic_id,sector_or_product,injected_event_time_btjd,injected_depth_ppm,injected_ingress_hours,injected_egress_hours,injected_asymmetry_ratio,recovered,recovered_event_time_btjd,timing_error_hours,recovered_depth_ppm,recovered_local_snr,recovery_tolerance_hours,noise_mad,injector_version,detector_version
26,target,231839456,TIC 231839456,1335.9797826692763,3356.9863916318086,5.043295083594114,11.242369071599692,2.2291713820536145,True,1336.010645654705,0.7407116502890858,2661.043471301916,2.249902356188344,3.0,0.00039139004945755,phase3_v1,phase3_v1
27,target,231839456,TIC 231839456,1343.7024213134941,613.09676254999,1.7239845123496937,12.543317552845226,7.275771599449806,False,,,,,3.0,0.00039139004945755,phase3_v1,phase3_v1
28,target,231839456,TIC 231839456,1328.1713080975137,3000.254683110138,7.494591997249737,15.021512762635401,2.0043136128221244,True,1328.1868549455025,0.3731243517322582,2249.6264766252993,1.6945959407546782,3.0,0.00039139004945755,phase3_v1,phase3_v1
29,target,231839456,TIC 231839456,1342.0134471258148,4067.897228746221,6.067977550126492,8.179066146772447,1.347906461289058,True,1342.0051977612372,0.19798474986055226,4603.9538887236995,2.88177553024488,3.0,0.00039139004945755,phase3_v1,phase3_v1
30,target,381003375,TIC 381003375,1425.0837049401757,1551.3097994214281,5.065985095372428,24.0,4.737479394071457,True,1425.141652119255,1.3907322979030141,1390.4625452282326,2.999947301586626,3.0,0.0004084454298019409,phase3_v1,phase3_v1
31,target,381003375,TIC 381003375,1431.9398375075223,4848.882363929979,5.241886032434035,24.0,4.578504731217088,True,1431.9818326113996,1.007882493055149,2501.6842454463895,1.3662086340054547,3.0,0.0004084454298019409,phase3_v1,phase3_v1
32,target,381003375,TIC 381003375,1425.5761933785311,2807.547742708054,4.786097410531829,24.0,5.014523930747396,True,1425.6263718062607,1.2042822655112104,1765.849071529324,1.4737483089909444,3.0,0.0004084454298019409,phase3_v1,phase3_v1
33,target,381003375,TIC 381003375,1413.5982515450235,542.4918896624685,3.974610530631977,15.774018104621563,3.968695293048861,False,,,,,3.0,0.0004084454298019409,phase3_v1,phase3_v1
34,target,381003375,TIC 381003375,1428.7507492569962,3156.3722453361324,3.680286288230425,8.468886183885179,2.301148747848427,True,1428.7402263182776,0.2525505292469461,3146.2013776785147,3.274316396671511,3.0,0.0004084454298019409,phase3_v1,phase3_v1
35,target,381003375,TIC 381003375,1428.3465854708277,3901.5595882401008,2.1188453023389147,4.443945342586265,2.097342990392342,True,1428.3416210427524,0.1191462738061091,3927.202953845965,8.166963457786553,3.0,0.0004084454298019409,phase3_v1,phase3_v1
36,target,381003375,TIC 381003375,1418.0512655492676,4202.247076918604,3.769592337198088,15.45524145793902,4.099976887534421,True,1418.0624969168562,0.2695528221265704,3935.5416699929924,1.9281713690731912,3.0,0.0004084454298019409,phase3_v1,phase3_v1
37,target,381003375,TIC 381003375,1431.7167763989366,4142.277633165725,4.902946384875024,9.382399685856097,1.9136247777050193,True,1431.7179494460806,0.028153131455837865,3666.850923751075,2.3664735555126577,3.0,0.0004084454298019409,phase3_v1,phase3_v1
38,target,381003375,TIC 381003375,1424.651556381054,2482.936348552235,6.054738216477522,12.728009660311299,2.1021568902306895,True,1424.6347091707755,0.4043330466829502,1246.535306205665,1.6792072871095811,3.0,0.0004084454298019409,phase3_v1,phase3_v1
39,target,381003375,TIC 381003375,1432.274309453459,648.2338344778015,2.3302190395224116,5.776844314386609,2.4790992676682437,False,,,,,3.0,0.0004084454298019409,phase3_v1,phase3_v1
