pair_id,sample_role,tic_id,target_name,sector_or_product,event_time_btjd,depth_ppm,local_snr,duration_hours,fwhm_hours,ingress_duration_hours,egress_duration_hours,egress_ingress_ratio,skewness,kurtosis,delta_chi2_asym,n_points_window,edge_event,single_point_like,detector_version,n_lc_points
10,target,469974193,bet03 Tuc,TIC 469974193,1337.1529435120635,505.298376083374,4.346632773441913,0.06666740545733774,0.03248771834660147,0.0333337055035372,0.03333369995380053,0.9999998335097587,-0.17067929109376745,0.49949834616742006,-3.4040206469219356,710,False,False,phase3_v1,18270
10,target,469974193,bet03 Tuc,TIC 469974193,1347.3627286732728,478.0292510986328,3.1578609988337965,0.13333359848002146,0.06336706321962993,0.10000019465951482,0.033333403820506646,0.333333389339908,-0.14648737601128614,0.25111601863891186,-23.61969160630133,617,False,False,phase3_v1,18270
10,target,469974193,bet03 Tuc,TIC 469974193,1351.7043955908766,475.13842582702637,3.748137392239581,0.09999980352586135,0.06429351336737454,0.033333269699141965,0.06666653382671939,1.9999998328527446,-0.013055959763317672,0.15578954322355587,-3.9584602739412276,698,False,False,phase3_v1,18270
10,target,469974193,bet03 Tuc,TIC 469974193,1339.737690051769,352.7402877807617,3.162944781761086,0.06666718200540345,0.053373393497167854,0.033333588206005516,0.03333359379939793,1.0000001678004895,-0.21427145208108367,-0.05256282274347468,3.8869569731978117,417,False,False,phase3_v1,18270
10,control,196613658,TIC 196613658,TIC 196613658,1768.1223907148324,858.2472801208496,4.241044736115063,0.06666803471125604,0.03426336122720386,0.03333401177042106,0.033334022940834984,1.0000003351055973,-0.1261184835823409,0.2553306770667083,2.196268917336056,701,False,False,phase3_v1,13066
10,control,196613658,TIC 196613658,TIC 196613658,1768.505731808765,849.9026298522949,5.094048590771595,0.06666803471125604,0.033930222076378413,0.03333401177042106,0.033334022940834984,1.0000003351055973,-0.10617128010785316,0.7689083678006363,0.234893256778264,694,False,False,phase3_v1,13066
10,control,196613658,TIC 196613658,TIC 196613658,1782.5447803835657,623.9414215087891,4.175380999527498,0.06666666012824862,0.02757877475778514,0.03333333005866734,0.03333333006958128,1.000000000327418,-0.3091704084476714,0.5233101281570884,2.889679986498436,712,False,False,phase3_v1,13066
10,control,196613658,TIC 196613658,TIC 196613658,1786.073937166441,588.834285736084,4.077903435048522,0.06666631363805209,0.038043161204768694,0.033333151222905144,0.033333162415146944,1.0000003357690883,-0.17301108446847657,0.9200753086350479,2.528275289709086,709,False,False,phase3_v1,13066
10,control,196613658,TIC 196613658,TIC 196613658,1781.9739468438913,584.3043327331543,4.145475181911638,0.06666671597486129,0.032722753792768344,0.03333336358628003,0.03333335238858126,0.9999996640693418,-0.35398660149043637,0.6922631966808348,-8.69904139494156,702,False,False,phase3_v1,13066
11,control,461597067,TIC 461597067,TIC 461597067,1791.0183049380878,1094.4902896881104,4.192024562832621,0.06666832607515971,0.04115041015575116,0.033334163043036824,0.03333416303212289,0.99999999967259,-0.15938692385427095,0.18420841201854854,1.6396233368532194,424,True,False,phase3_v1,14811
11,control,461597067,TIC 461597067,TIC 461597067,1805.1435871339384,1080.4235935211182,4.130458362044764,0.10000147214668687,0.060852371259898064,0.06666764995679841,0.03333382218988845,0.49999995817295556,-0.16080632404951709,0.7594003745789926,-9.522414018546442,710,False,False,phase3_v1,14811
11,control,461597067,TIC 461597067,TIC 461597067,1805.9477656845731,1044.8098182678223,4.486112131612687,0.10000147214668687,0.059288885044225026,0.06666764995679841,0.03333382218988845,0.49999995817295556,-0.1302132316422566,1.0335167407452035,-3.7371003168315156,718,False,False,phase3_v1,14811
11,control,461597067,TIC 461597067,TIC 461597067,1805.6199831341785,1023.1733322143555,4.360123659263881,0.10000147214668687,0.05833901810183306,0.06666764995679841,0.03333382218988845,0.49999995817295556,-0.2506138015744734,0.8066843471273377,-30.63038045381927,714,False,False,phase3_v1,14811
11,control,461597067,TIC 461597067,TIC 461597067,1806.2477699718122,1008.152961730957,4.028367480857038,0.06666763881366933,0.041734328433449264,0.033333816623780876,0.03333382218988845,1.0000001669808063,-0.0802148136996521,0.8410640937775864,-166.42761451172782,719,False,False,phase3_v1,14811
12,control,444335503,TIC 444335503,TIC 444335503,2860.1062810326334,19157.230854034424,24.473323837161335,1.1944744737738802,1.1926998806993652,0.6333492619960452,0.5611252117778349,0.8859648940134688,-3.3948059502045678,11.180679020129409,-112.33492463777748,4203,False,False,phase3_v1,107878
12,control,444335503,TIC 444335503,TIC 444335503,2857.7001989675273,18750.96559524536,28.344559649075954,1.205588910197548,1.2031438441044884,0.6000166087324033,0.6055723014651448,1.00925923158107,-3.509023493492709,11.919263237511675,-78.56764450426544,4318,False,False,phase3_v1,107878
12,control,444335503,TIC 444335503,TIC 444335503,2855.295499898003,18691.24174118042,31.390847995248894,1.2278146650751296,1.2235164396552136,0.6277966482048214,0.6000180168703082,0.9557521827904849,-3.5512191094014174,12.16611131220166,49.78862794318866,4315,False,False,phase3_v1,107878
12,control,444335503,TIC 444335503,TIC 444335503,2862.509810562071,18312.99066543579,19.825046917855982,1.2222497579241463,1.217868163366802,0.6055692057707347,0.6166805521534116,1.0183485987675593,-3.384135810615158,11.356224324551695,30.16145246620772,4314,False,False,phase3_v1,107878
12,control,444335503,TIC 444335503,TIC 444335503,2876.936189346549,17997.324466705322,33.95450356288105,1.1444533238754957,1.1401466393908777,0.5444486788364884,0.6000046450390073,1.1020407769585272,-3.658189282885627,12.933533921932087,456.038384606456,4315,False,False,phase3_v1,107878
12,control,444335503,TIC 444335503,TIC 444335503,2869.7229088177373,17977.893352508545,20.458490384409814,1.161129605359747,1.155064237624174,0.5500087636537501,0.611120841705997,1.1111110987509996,-3.4951497630249824,12.051898046695667,124.86323132746656,4317,False,False,phase3_v1,107878
12,control,444335503,TIC 444335503,TIC 444335503,2872.1289625952472,17939.329147338867,28.395976061153984,1.1389040684443898,1.1355085358081851,0.5888967464234156,0.5500073220209742,0.9339622359290809,-3.581714901963732,12.523199405771203,285.22384708261507,4314,False,False,phase3_v1,107878
