tic_id,pair_id,sample_role,target_name,sector_or_product,event_time_btjd,depth_ppm,local_snr,duration_hours,fwhm_hours,ingress_duration_hours,egress_duration_hours,egress_ingress_ratio,skewness,kurtosis,delta_chi2_asym,n_points_window,edge_event,single_point_like,detector_version,n_lc_points,ml_score,quality_score,final_candidate_score,ranker_version,flag_low_snr,flag_edge_event,flag_single_point_like,flag_likely_flare_shape,flag_low_delta_chi2,flag_poor_asymmetry_fit,needs_manual_review,automated_vetting_status,eb_catalog_check_status,vsx_check_status,simbad_check_status,vetter_version,ra_deg,dec_deg,vsx_match_name,vsx_variable_type,vsx_sep_arcsec,simbad_main_id,simbad_otype,simbad_otypes,simbad_sep_arcsec,tess_eb_check_status,tess_eb_match_id,tess_eb_sep_arcsec,external_false_positive_flag,external_vetting_notes,external_vetter_version,flag_external_catalog_match,cache_used,scan_timestamp,success,failure_reason,recommended_review_priority
57920096,14,control,TIC 57920096,TIC 57920096,1778.8283471143625,888.7052536010742,4.515786809068717,0.0666654419092083,0.0421158192693837,0.0333327153693971,0.0333327265398111,1.0000003351186306,0.2135013545895638,1.398816236061826,-3.745894110231802,713,False,False,phase3_v1,13030,0.9214674,0.2032104265152101,0.5871757504162842,phase4_v1,True,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,4.65940729246549,31.51723037944,,,,HD   1439,PM*,,0.0086162569149113,not_found,,,no_external_match,"SIMBAD: HD   1439 otype=PM* (0.0"")",phase5c_v1,False,False,2026-05-15T21:06:17.823459,False,"download_failed: expected an indented block (__init__.py, line 7)",low
381003375,24,target,HD 15115,TIC 381003375,1430.4110312935995,1275.9268283843994,3.647003395487683,0.0999981268560077,0.0647333052729663,0.0333327052139793,0.0666654216420283,2.0000003364284296,-0.0754193568801635,0.1951560015535789,-99.23885319156808,714,False,False,phase3_v1,14848,0.9214674,0.2241151729826515,0.5868498148674504,phase4_v1,True,False,False,False,True,False,True,flagged,not_attempted,not_found,matched,phase5_v1,36.56804166666667,6.2924444444444445,,,,HD  15115,PM*,,1.3137424508232087,not_found,,,no_external_match,"SIMBAD: HD  15115 otype=PM* (1.3"")",phase5c_v1,False,True,2026-05-15T21:06:17.894126,True,,low
461597067,11,control,TIC 461597067,TIC 461597067,1805.9477656845731,1044.8098182678225,4.486112131612687,0.1000014721466868,0.059288885044225,0.0666676499567984,0.0333338221898884,0.4999999581729555,-0.1302132316422566,1.0335167407452035,-3.737100316831515,718,False,False,phase3_v1,14811,0.9214674,0.2018750459225709,0.5863448514046682,phase4_v1,True,False,False,False,True,False,True,flagged,not_attempted,not_found,matched,phase5_v1,9.56074632591123,84.674980617209,,,,HD   3161,*,,0.0022452462304247,not_found,,,no_external_match,"SIMBAD: HD   3161 otype=* (0.0"")",phase5c_v1,False,False,2026-05-15T21:06:17.810256,False,"download_failed: expected an indented block (__init__.py, line 7)",overtriggered_review
229142326,19,target,HD 10939,TIC 229142326,1379.593257079384,482.6784133911133,4.3626407110554855,0.0666663608790258,0.0432431156095844,0.0333331804395129,0.0333331804395129,1.0,0.033291081407583,0.4826736752404557,2.5797648447299935,713,False,False,phase3_v1,18295,0.9214674,0.2027682441093218,0.5854674164737965,phase4_v1,True,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,26.526666666666667,-53.52186111111111,,,,* q02 Eri,PM*,,1.3739245336483723,not_found,,,no_external_match,"SIMBAD: * q02 Eri otype=PM* (1.4"")",phase5c_v1,False,False,2026-05-15T21:06:17.845728,False,"download_failed: expected an indented block (__init__.py, line 7)",low
67786245,15,control,TIC 67786245,TIC 67786245,2456.3224200383424,939.100980758667,4.3499546299359375,0.0666729708827915,0.0332550786952197,0.0333364847538177,0.0333364861289737,1.0000000412507797,-0.4395924292507858,0.8043026814227971,0.0904625239952565,540,False,False,phase3_v1,13077,0.9214674,0.1959741171321521,0.5826229048717332,phase4_v1,True,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,56.1175150188725,20.9287361149159,,,,HD  23258,*,,0.0030308139428609,not_found,,,no_external_match,"SIMBAD: HD  23258 otype=* (0.0"")",phase5c_v1,False,False,2026-05-15T21:06:17.827896,False,"download_failed: expected an indented block (__init__.py, line 7)",overtriggered_review
257502302,4,control,TIC 257502302,TIC 257502302,2464.453534300246,2230.823040008545,4.269987424717613,0.0666683790295792,0.04145861336292,0.0333341895311605,0.0333341894984187,0.9999999990177708,-0.2418993103924127,0.6528005464076125,0.0966729961438659,719,False,False,phase3_v1,11275,0.92270243,0.1923911166026522,0.5810075367276231,phase4_v1,True,False,False,False,True,True,True,flagged,not_attempted,matched,matched,phase5_v1,0.696563997766192,2.13015199433585,NSV 3,CST,1.6013439029296077,HD 225028B,PM*,,0.0102189109570187,not_found,,,known_variable_match,"VSX: NSV 3 type=CST (1.6""); SIMBAD: HD 225028B otype=PM* (0.0"")",phase5c_v1,True,False,2026-05-15T21:06:17.778934,False,"download_failed: expected an indented block (__init__.py, line 7)",overtriggered_review
346923890,16,control,TIC 346923890,TIC 346923890,2465.1549634727444,1451.3134956359863,4.26354504218474,0.0111118211716529,0.0054853896181157,0.0055559105749125,0.0055559105967404,1.000000003928766,0.389836573084747,1.2871194508426376,0.4310741603731003,4312,False,False,phase3_v1,75071,0.9214674,0.192937212534972,0.5805440471553491,phase4_v1,True,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,24.4203303046357,12.0783809490683,,,,1RXS J013741.1+120443,X,,0.0035776790292068,not_found,,,no_external_match,"SIMBAD: 1RXS J013741.1+120443 otype=X (0.0"")",phase5c_v1,False,False,2026-05-15T21:06:17.832140,False,"download_failed: expected an indented block (__init__.py, line 7)",low
37748347,7,target,HD 1461,TIC 37748347,1394.5249385434895,705.8382034301758,3.919195080334564,0.0666657344791019,0.0431808177690982,0.0333328728356718,0.03333286164343,0.9999996642281074,-0.1751584093321919,0.1475766035339436,2.599502560415658,425,False,False,phase3_v1,12976,0.9214674,0.1828625350160945,0.5730706765292963,phase4_v1,True,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,4.675708333333334,-8.053444444444445,,,,HD   1461,PM*,,4.765410122195232,not_found,,,no_external_match,"SIMBAD: HD   1461 otype=PM* (4.8"")",phase5c_v1,False,False,2026-05-15T21:06:17.790357,False,"download_failed: expected an indented block (__init__.py, line 7)",low
303241443,18,control,TIC 303241443,TIC 303241443,2867.242189679869,1646.4591026306152,3.997309214550953,0.0999985576454491,0.0650346498186991,0.0666656976500235,0.0333328599954256,0.5000001675586444,-0.1573655683646671,0.5524768462846241,-5.294171429728863,565,False,False,phase3_v1,17987,0.9214674,0.1798789146547929,0.5726583697269396,phase4_v1,True,False,False,False,True,False,True,flagged,not_attempted,not_found,matched,phase5_v1,5.48888470273016,16.8769418728228,,,,HD   1764,PM*,,0.002042559443191,not_found,,,no_external_match,"SIMBAD: HD   1764 otype=PM* (0.0"")",phase5c_v1,False,False,2026-05-15T21:06:17.843539,False,"download_failed: expected an indented block (__init__.py, line 7)",low
331940649,27,control,TIC 331940649,TIC 331940649,1894.8692781314144,2730.7868003845215,3.946085320574666,0.0666651513474789,0.0326379697999072,0.0333325812534894,0.0333325700939894,0.9999996652074464,0.1446686541767554,0.2963763460747364,-51.89526653123414,717,False,False,phase3_v1,18647,0.92270243,0.1775738394258599,0.5718416048154766,phase4_v1,True,False,False,True,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,148.026656,54.06437,,,,* phi UMa,**,,0.402704820452806,not_found,,,no_external_match,"SIMBAD: * phi UMa otype=** (0.4"")",phase5c_v1,False,False,2026-05-15T21:06:17.911250,False,"download_failed: expected an indented block (__init__.py, line 7)",low
436544292,14,target,66 Psc,TIC 436544292,1765.7706016900424,1241.2071228027344,3.8260952261892176,0.0666671071467135,0.0337896058990736,0.0333335535706282,0.0333335535760852,1.000000000163708,0.0601395603710812,0.3746868980694202,0.0714408378406687,671,False,False,phase3_v1,13041,0.9214674,0.1723528872829389,0.5679358188945807,phase4_v1,True,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,13.646791666666669,19.188333333333333,,,,*  66 Psc,**,,0.2558440474828304,not_found,,,no_external_match,"SIMBAD: *  66 Psc otype=** (0.3"")",phase5c_v1,False,False,2026-05-15T21:06:17.821182,False,"download_failed: expected an indented block (__init__.py, line 7)",low
12377940,0,target,HR 9102,TIC 12377940,1378.1077781484776,1339.9720191955566,3.672372672267701,0.1666650471997854,0.130086964361908,0.0999990327836712,0.0666660144161142,0.6666665922692805,-0.4124624035620923,0.2166568175403975,2.892292665065156,675,False,False,phase3_v1,18297,0.9214674,0.1724875019147094,0.5664524392080736,phase4_v1,True,False,False,False,True,False,True,flagged,not_attempted,not_found,matched,phase5_v1,1.0847083333333334,-29.268805555555556,,,,HD 225200,*,,0.1789505666028116,not_found,,,no_external_match,"SIMBAD: HD 225200 otype=* (0.2"")",phase5c_v1,False,True,2026-05-15T21:06:16.992309,True,,low
428612809,0,control,TIC 428612809,TIC 428612809,2887.246604441321,835.2994918823242,3.5508315188974473,0.0666673283885757,0.0394127517902234,0.0333336642106587,0.0333336641779169,0.9999999990177556,-0.1014610662374306,0.1613699503468857,-23.961776658686404,719,False,False,phase3_v1,19474,0.9214674,0.1597874183503851,0.5601569942486414,phase4_v1,True,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,8.33027575932507,70.9818541198048,,,,HD   2904,*,,0.003611506510107,not_found,,,no_external_match,"SIMBAD: HD   2904 otype=* (0.0"")",phase5c_v1,False,True,2026-05-15T21:06:17.005260,True,,low
435680540,15,target,HR 333,TIC 435680540,1791.3812764486672,822.0672607421875,2.8146978985480184,0.1000021203471988,0.0633108263191388,0.0333340401193709,0.0666680802278278,1.9999999996725888,-0.0909257239280296,-0.001890420008014,-1.104204564667839,522,False,False,phase3_v1,15135,0.9111678,0.1866614054150161,0.5583954413647283,phase4_v1,True,False,False,False,True,False,True,flagged,not_attempted,not_found,matched,phase5_v1,18.071791666666662,79.67397222222223,,,,HD   6798,PM*,,1.1126976097085906,not_found,,,no_external_match,"SIMBAD: HD   6798 otype=PM* (1.1"")",phase5c_v1,False,False,2026-05-15T21:06:17.825750,False,"download_failed: expected an indented block (__init__.py, line 7)",low
368454136,17,control,TIC 368454136,TIC 368454136,1967.0548203298804,1262.0389461517334,2.7427175140729187,0.0666656646899355,0.0465820645167696,0.0333328323449677,0.0333328323449677,1.0,0.1745736302234473,-0.3334125883535845,18.24383751440172,704,False,False,phase3_v1,18206,0.9111678,0.1690318819192856,0.5506238281216851,phase4_v1,True,False,False,False,False,True,True,flagged,not_attempted,not_found,matched,phase5_v1,11.6604369302305,69.3254086824963,,,,HD   4295,PM*,,0.004844175327818,not_found,,,no_external_match,"SIMBAD: HD   4295 otype=PM* (0.0"")",phase5c_v1,False,False,2026-05-15T21:06:17.836377,False,"download_failed: expected an indented block (__init__.py, line 7)",low
372121208,26,target,HD 15407,TIC 372121208,2895.493588444462,2902.120351791382,2.271135396510075,0.0111111506084853,0.0053899811100563,0.0055555753096996,0.0055555752987856,0.9999999980354984,0.3596352317551832,-0.9144156490997668,-371.33500802563174,4316,False,False,phase3_v1,116956,0.7649099,0.1022010928429533,0.4460467526405969,phase4_v1,True,False,False,True,True,True,True,flagged,not_attempted,matched,matched,phase5_v1,37.7115,55.548138888888886,HD 15407A,CST,1.2449531733916164,HD  15407,PM*,,1.301837728408818,not_found,,,known_variable_match,"VSX: HD 15407A type=CST (1.2""); SIMBAD: HD  15407 otype=PM* (1.3"")",phase5c_v1,True,False,2026-05-15T21:06:17.903814,False,"download_failed: expected an indented block (__init__.py, line 7)",low
