tic_id,event_time_btjd,sample_role,target_name,recommended_review_priority,inspection_reason,local_snr,final_candidate_score,depth_ppm,duration_hours,automated_vetting_status,external_false_positive_flag,manual_label,reviewer_name,review_date,visual_event_quality,likely_artifact_reason,notes,followup_priority
194503676,1766.374064807063,target,sig And,overtriggered_review,"overtriggered_top5,target_top_event",4.494650017497659,0.6111456571117281,548.1243133544922,0.1000003924636985,flagged,known_variable_match,,,,,,,
417236897,1965.8254823841287,control,TIC 417236897,overtriggered_review,overtriggered_top5,5.3529399903304755,0.6106160314644826,1632.9288482666016,0.0666654188098618,flagged,no_external_match,,,,,,,
417236897,1966.2240860970317,control,TIC 417236897,overtriggered_review,overtriggered_top5,5.218611494713244,0.6068548335872002,1610.398292541504,0.0666654188098618,flagged,no_external_match,,,,,,,
417236897,1963.5158064252753,control,TIC 417236897,overtriggered_review,overtriggered_top5,4.156395898074303,0.6038774376210885,989.1390800476074,0.0999978768013534,flagged,no_external_match,,,,,,,
417236897,1967.162958368801,control,TIC 417236897,overtriggered_review,overtriggered_top5,4.236782032872918,0.6033636086360257,1267.7311897277832,0.099998295880141,flagged,no_external_match,,,,,,,
194503676,1778.0212415072124,target,sig And,overtriggered_review,overtriggered_top5,4.666188566094137,0.5933287709520065,578.9399147033691,0.0666659783837531,flagged,known_variable_match,,,,,,,
194503676,1767.6851791843733,target,sig And,overtriggered_review,overtriggered_top5,4.104943461613121,0.5764052981149728,603.2586097717285,0.0666667383047752,flagged,known_variable_match,,,,,,,
194503676,1768.9240682178208,target,sig And,overtriggered_review,overtriggered_top5,3.109998352648081,0.5742128148948594,469.6846008300781,0.0999999007090082,flagged,known_variable_match,,,,,,,
194503676,1765.7587841000045,target,sig And,overtriggered_review,overtriggered_top5,3.682114462683576,0.5646017974930342,493.2880401611328,0.066667051267359,flagged,known_variable_match,,,,,,,
118301927,1791.3788763981956,target,HD 14082B,low,target_top_event,5.79524228732157,0.6327228798188479,24380.207061767574,7.400017821935762,flagged,known_variable_match,,,,,,,
91529289,1387.8190765369666,target,phi For,low,target_top_event,5.253358787002111,0.607827765805983,636.9352340698242,0.0666678802681417,flagged,no_external_match,,,,,,,
155996406,1359.8677555228926,target,HD 2834,low,target_top_event,4.419823410683425,0.5897415989285479,414.0138626098633,0.0666670091995911,flagged,no_external_match,,,,,,,
469974193,1351.7043955908766,target,bet03 Tuc,overtriggered_review,target_top_event,3.748137392239581,0.5896815546906871,475.1384258270264,0.0999998035258613,flagged,no_external_match,,,,,,,
381003375,1430.4110312935995,target,HD 15115,low,target_top_event,3.647003395487683,0.5868498148674504,1275.9268283843994,0.0999981268560077,flagged,no_external_match,,,,,,,
229142326,1379.593257079384,target,HD 10939,low,target_top_event,4.3626407110554855,0.5854674164737965,482.6784133911133,0.0666663608790258,flagged,no_external_match,,,,,,,
37748347,1394.5249385434895,target,HD 1461,low,target_top_event,3.919195080334564,0.5730706765292963,705.8382034301758,0.0666657344791019,flagged,no_external_match,,,,,,,
436544292,1765.7706016900424,target,66 Psc,low,target_top_event,3.8260952261892176,0.5679358188945807,1241.2071228027344,0.0666671071467135,flagged,no_external_match,,,,,,,
12377940,1378.1077781484776,target,HR 9102,low,target_top_event,3.672372672267701,0.5664524392080736,1339.9720191955566,0.1666650471997854,flagged,no_external_match,,,,,,,
435680540,1791.3812764486672,target,HR 333,low,target_top_event,2.8146978985480184,0.5583954413647283,822.0672607421875,0.1000021203471988,flagged,no_external_match,,,,,,,
372121208,2895.493588444462,target,HD 15407,low,target_top_event,2.271135396510075,0.4460467526405969,2902.120351791382,0.0111111506084853,flagged,known_variable_match,,,,,,,
